date,Occurence_in_News,Occurence_in_Google,Occurence_in_Google_normalized
2022-02-06,0,21,0.21
2022-02-07,0,19,0.19
2022-02-08,2,24,0.24
2022-02-09,2,27,0.27
2022-02-10,3,23,0.23
2022-02-11,0,21,0.21
2022-02-12,0,23,0.23
2022-02-13,0,0,
2021-11-07,0,100,1.0
2021-11-08,1,68,0.68
2021-11-09,1,64,0.64
2021-11-10,1,70,0.7
2021-11-11,1,63,0.63
2021-11-12,1,67,0.67
2021-11-13,0,96,0.96
2021-11-14,0,95,0.95
2021-11-15,1,71,0.71
2021-11-16,1,70,0.7
2021-11-17,1,62,0.62
2021-11-18,1,64,0.64
2021-11-19,1,62,0.62
2021-11-20,0,91,0.91
2021-11-21,0,89,0.89
2021-11-22,1,66,0.66
2021-11-23,1,57,0.57
2021-11-24,1,65,0.65
2021-11-25,1,55,0.55
2021-11-26,1,66,0.66
2021-11-27,0,81,0.81
2021-11-28,0,83,0.83
2021-11-29,1,62,0.62
2021-11-30,1,65,0.65
2021-12-01,1,74,0.74
2021-12-02,1,74,0.74
2021-12-03,1,68,0.68
2021-12-04,0,97,0.97
2021-12-05,0,85,0.85
2021-12-06,1,81,0.81
2021-12-07,2,78,0.78
2021-12-08,1,74,0.74
2021-12-09,1,73,0.73
2021-12-10,1,76,0.76
2021-12-11,0,91,0.91
2021-12-12,0,96,0.96
2021-12-13,1,66,0.66
2021-12-14,1,66,0.66
2021-12-15,1,68,0.68
2021-12-16,1,61,0.61
2021-12-17,1,58,0.58
2021-12-18,0,63,0.63
2021-12-19,0,63,0.63
2021-12-20,1,54,0.54
2021-12-21,1,61,0.61
2021-12-22,1,54,0.54
2021-12-23,1,61,0.61
2021-12-24,0,91,0.91
2021-12-25,0,74,0.74
2021-12-26,0,75,0.75
2021-12-27,1,60,0.6
2021-12-28,1,56,0.56
2021-12-29,1,54,0.54
2021-12-30,1,58,0.58
2021-12-31,0,39,0.39
2022-01-01,0,82,0.82
2022-01-02,0,69,0.69
2022-01-03,1,55,0.55
2022-01-04,1,49,0.49
2022-01-05,1,53,0.53
2022-01-06,1,59,0.59
2022-01-07,1,61,0.61
2022-01-08,0,69,0.69
2022-01-09,0,71,0.71
2022-01-10,1,51,0.51
2022-01-11,1,56,0.56
2022-01-12,1,55,0.55
2022-01-13,1,49,0.49
2022-01-14,1,63,0.63
2022-01-15,0,59,0.59
2022-01-16,0,70,0.7
2022-01-17,2,63,0.63
2022-01-18,1,52,0.52
2022-01-19,1,53,0.53
2022-01-20,1,46,0.46
2022-01-21,1,62,0.62
2022-01-22,1,76,0.76
2022-01-23,0,76,0.76
2022-01-24,1,54,0.54
2022-01-25,1,50,0.5
2022-01-26,2,59,0.59
2022-01-27,1,50,0.5
2022-01-28,1,51,0.51
2022-01-29,0,67,0.67
2022-01-30,1,80,0.8
2022-01-31,1,52,0.52
2022-02-01,0,62,0.62
2022-02-02,0,54,0.54
2022-02-03,0,60,0.6
2022-02-04,0,62,0.62
2022-02-05,0,58,0.58
2022-02-06,0,65,0.65
2022-02-07,0,44,0.44
2022-02-08,0,52,0.52
2022-02-09,0,50,0.5
2022-02-10,0,52,0.52
2022-02-11,0,55,0.55
2022-02-12,0,60,0.6
2022-02-13,0,0,
2021-11-07,0,32,0.32
2021-11-08,1,57,0.57
2021-11-09,0,26,0.26
2021-11-10,1,30,0.3
2021-11-11,2,52,0.52
2021-11-12,0,36,0.36
2021-11-13,0,45,0.45
2021-11-14,0,48,0.48
2021-11-15,2,31,0.31
2021-11-16,0,62,0.62
2021-11-17,0,37,0.37
2021-11-18,0,85,0.85
2021-11-19,0,65,0.65
2021-11-20,0,34,0.34
2021-11-21,0,31,0.31
2021-11-22,0,42,0.42
2021-11-23,0,41,0.41
2021-11-24,0,55,0.55
2021-11-25,0,36,0.36
2021-11-26,0,37,0.37
2021-11-27,1,44,0.44
2021-11-28,0,23,0.23
2021-11-29,0,77,0.77
2021-11-30,0,70,0.7
2021-12-01,0,47,0.47
2021-12-02,7,100,1.0
2021-12-03,1,73,0.73
2021-12-04,0,36,0.36
2021-12-05,0,42,0.42
2021-12-06,0,69,0.69
2021-12-07,4,47,0.47
2021-12-08,5,57,0.57
2021-12-09,0,57,0.57
2021-12-10,1,52,0.52
2021-12-11,1,40,0.4
2021-12-12,0,51,0.51
2021-12-13,0,55,0.55
2021-12-14,0,69,0.69
2021-12-15,0,64,0.64
2021-12-16,1,75,0.75
2021-12-17,0,54,0.54
2021-12-18,0,28,0.28
2021-12-19,0,31,0.31
2021-12-20,0,53,0.53
2021-12-21,0,95,0.95
2021-12-22,0,62,0.62
2021-12-23,0,44,0.44
2021-12-24,0,17,0.17
2021-12-25,0,25,0.25
2021-12-26,0,29,0.29
2021-12-27,0,38,0.38
2021-12-28,3,35,0.35
2021-12-29,3,43,0.43
2021-12-30,0,65,0.65
2021-12-31,0,70,0.7
2022-01-01,2,29,0.29
2022-01-02,0,41,0.41
2022-01-03,0,39,0.39
2022-01-04,0,36,0.36
2022-01-05,0,27,0.27
2022-01-06,0,34,0.34
2022-01-07,0,32,0.32
2022-01-08,1,13,0.13
2022-01-09,1,41,0.41
2022-01-10,4,30,0.3
2022-01-11,0,54,0.54
2022-01-12,1,42,0.42
2022-01-13,2,43,0.43
2022-01-14,0,58,0.58
2022-01-15,0,32,0.32
2022-01-16,2,27,0.27
2022-01-17,0,48,0.48
2022-01-18,0,45,0.45
2022-01-19,1,31,0.31
2022-01-20,2,55,0.55
2022-01-21,0,30,0.3
2022-01-22,0,42,0.42
2022-01-23,1,46,0.46
2022-01-24,0,58,0.58
2022-01-25,0,39,0.39
2022-01-26,0,83,0.83
2022-01-27,2,59,0.59
2022-01-28,2,38,0.38
2022-01-29,0,31,0.31
2022-01-30,2,54,0.54
2022-01-31,0,70,0.7
2022-02-01,1,44,0.44
2022-02-02,1,37,0.37
2022-02-03,0,32,0.32
2022-02-04,0,26,0.26
2022-02-05,0,28,0.28
2022-02-06,0,33,0.33
2022-02-07,3,67,0.67
2022-02-08,1,51,0.51
2022-02-09,0,61,0.61
2022-02-10,1,47,0.47
2022-02-11,0,53,0.53
2022-02-12,0,28,0.28
2022-02-13,1,0,
2021-11-07,0,43,0.43
2021-11-08,3,86,0.86
2021-11-09,0,43,0.43
2021-11-10,1,22,0.22
2021-11-11,1,23,0.23
2021-11-12,1,17,0.17
2021-11-13,0,16,0.16
2021-11-14,1,16,0.16
2021-11-15,1,21,0.21
2021-11-16,1,16,0.16
2021-11-17,4,21,0.21
2021-11-18,3,23,0.23
2021-11-19,4,21,0.21
2021-11-20,1,13,0.13
2021-11-21,0,21,0.21
2021-11-22,0,24,0.24
2021-11-23,1,23,0.23
2021-11-24,6,100,1.0
2021-11-25,5,69,0.69
2021-11-26,6,39,0.39
2021-11-27,4,28,0.28
2021-11-28,3,27,0.27
2021-11-29,0,30,0.3
2021-11-30,2,19,0.19
2021-12-01,0,19,0.19
2021-12-02,1,22,0.22
2021-12-03,4,18,0.18
2021-12-04,3,15,0.15
2021-12-05,0,21,0.21
2021-12-06,5,37,0.37
2021-12-07,6,24,0.24
2021-12-08,2,21,0.21
2021-12-09,1,21,0.21
2021-12-10,1,13,0.13
2021-12-11,1,11,0.11
2021-12-12,0,8,0.08
2021-12-13,0,11,0.11
2021-12-14,2,10,0.1
2021-12-15,2,9,0.09
2021-12-16,1,12,0.12
2021-12-17,1,7,0.07
2021-12-18,1,7,0.07
2021-12-19,2,10,0.1
2021-12-20,0,7,0.07
2021-12-21,0,7,0.07
2021-12-22,0,7,0.07
2021-12-23,1,6,0.06
2021-12-24,0,5,0.05
2021-12-25,2,5,0.05
2021-12-26,0,7,0.07
2021-12-27,4,7,0.07
2021-12-28,1,10,0.1
2021-12-29,0,6,0.06
2021-12-30,1,8,0.08
2021-12-31,3,3,0.03
2022-01-01,0,6,0.06
2022-01-02,0,7,0.07
2022-01-03,0,10,0.1
2022-01-04,0,7,0.07
2022-01-05,0,6,0.06
2022-01-06,0,7,0.07
2022-01-07,1,7,0.07
2022-01-08,0,7,0.07
2022-01-09,1,8,0.08
2022-01-10,0,9,0.09
2022-01-11,2,7,0.07
2022-01-12,0,10,0.1
2022-01-13,1,10,0.1
2022-01-14,4,10,0.1
2022-01-15,0,5,0.05
2022-01-16,1,7,0.07
2022-01-17,3,8,0.08
2022-01-18,1,11,0.11
2022-01-19,0,10,0.1
2022-01-20,1,7,0.07
2022-01-21,2,8,0.08
2022-01-22,0,8,0.08
2022-01-23,0,7,0.07
2022-01-24,0,11,0.11
2022-01-25,0,8,0.08
2022-01-26,0,8,0.08
2022-01-27,0,8,0.08
2022-01-28,1,9,0.09
2022-01-29,0,6,0.06
2022-01-30,1,6,0.06
2022-01-31,3,8,0.08
2022-02-01,0,7,0.07
2022-02-02,2,9,0.09
2022-02-03,0,7,0.07
2022-02-04,0,6,0.06
2022-02-05,0,4,0.04
2022-02-06,0,7,0.07
2022-02-07,0,6,0.06
2022-02-08,0,8,0.08
2022-02-09,0,8,0.08
2022-02-10,0,5,0.05
2022-02-11,0,7,0.07
2022-02-12,0,7,0.07
2022-02-13,0,0,
2021-11-07,0,58,0.58
2021-11-08,0,90,0.9
2021-11-09,3,45,0.45
2021-11-10,1,67,0.67
2021-11-11,1,70,0.7
2021-11-12,2,46,0.46
2021-11-13,0,64,0.64
2021-11-14,0,83,0.83
2021-11-15,0,40,0.4
2021-11-16,0,46,0.46
2021-11-17,0,17,0.17
2021-11-18,1,45,0.45
2021-11-19,1,23,0.23
2021-11-20,0,38,0.38
2021-11-21,1,31,0.31
2021-11-22,0,44,0.44
2021-11-23,0,33,0.33
2021-11-24,0,44,0.44
2021-11-25,0,22,0.22
2021-11-26,1,56,0.56
2021-11-27,0,25,0.25
2021-11-28,0,18,0.18
2021-11-29,1,49,0.49
2021-11-30,0,54,0.54
2021-12-01,0,64,0.64
2021-12-02,1,67,0.67
2021-12-03,0,34,0.34
2021-12-04,0,55,0.55
2021-12-05,0,76,0.76
2021-12-06,2,66,0.66
2021-12-07,3,78,0.78
2021-12-08,2,74,0.74
2021-12-09,1,80,0.8
2021-12-10,3,60,0.6
2021-12-11,0,58,0.58
2021-12-12,1,96,0.96
2021-12-13,2,57,0.57
2021-12-14,1,74,0.74
2021-12-15,1,69,0.69
2021-12-16,0,52,0.52
2021-12-17,2,49,0.49
2021-12-18,0,34,0.34
2021-12-19,0,47,0.47
2021-12-20,0,54,0.54
2021-12-21,1,66,0.66
2021-12-22,0,66,0.66
2021-12-23,0,56,0.56
2021-12-24,1,49,0.49
2021-12-25,1,68,0.68
2021-12-26,1,28,0.28
2021-12-27,0,86,0.86
2021-12-28,2,54,0.54
2021-12-29,0,49,0.49
2021-12-30,1,62,0.62
2021-12-31,1,20,0.2
2022-01-01,0,56,0.56
2022-01-02,2,66,0.66
2022-01-03,0,24,0.24
2022-01-04,0,41,0.41
2022-01-05,1,59,0.59
2022-01-06,1,29,0.29
2022-01-07,0,84,0.84
2022-01-08,0,39,0.39
2022-01-09,0,84,0.84
2022-01-10,0,56,0.56
2022-01-11,1,67,0.67
2022-01-12,1,44,0.44
2022-01-13,2,46,0.46
2022-01-14,1,54,0.54
2022-01-15,0,70,0.7
2022-01-16,0,72,0.72
2022-01-17,2,46,0.46
2022-01-18,2,85,0.85
2022-01-19,3,34,0.34
2022-01-20,1,49,0.49
2022-01-21,2,60,0.6
2022-01-22,1,33,0.33
2022-01-23,0,46,0.46
2022-01-24,0,100,1.0
2022-01-25,3,94,0.94
2022-01-26,1,59,0.59
2022-01-27,1,88,0.88
2022-01-28,2,60,0.6
2022-01-29,1,33,0.33
2022-01-30,1,27,0.27
2022-01-31,5,42,0.42
2022-02-01,0,64,0.64
2022-02-02,1,35,0.35
2022-02-03,4,47,0.47
2022-02-04,1,37,0.37
2022-02-05,0,53,0.53
2022-02-06,0,40,0.4
2022-02-07,0,30,0.3
2022-02-08,0,35,0.35
2022-02-09,2,29,0.29
2022-02-10,1,54,0.54
2022-02-11,0,61,0.61
2022-02-12,0,94,0.94
2022-02-13,0,0,
2021-11-07,0,39,0.39
2021-11-08,1,38,0.38
2021-11-09,1,34,0.34
2021-11-10,4,34,0.34
2021-11-11,1,33,0.33
2021-11-12,1,33,0.33
2021-11-13,1,27,0.27
2021-11-14,0,39,0.39
2021-11-15,0,36,0.36
2021-11-16,0,37,0.37
2021-11-17,1,37,0.37
2021-11-18,1,32,0.32
2021-11-19,1,36,0.36
2021-11-20,0,31,0.31
2021-11-21,1,32,0.32
2021-11-22,0,32,0.32
2021-11-23,0,40,0.4
2021-11-24,0,37,0.37
2021-11-25,1,32,0.32
2021-11-26,0,28,0.28
2021-11-27,0,26,0.26
2021-11-28,0,38,0.38
2021-11-29,1,36,0.36
2021-11-30,1,30,0.3
2021-12-01,1,46,0.46
2021-12-02,1,52,0.52
2021-12-03,1,34,0.34
2021-12-04,0,30,0.3
2021-12-05,0,35,0.35
2021-12-06,0,40,0.4
2021-12-07,1,38,0.38
2021-12-08,0,34,0.34
2021-12-09,0,34,0.34
2021-12-10,0,29,0.29
2021-12-11,0,31,0.31
2021-12-12,0,40,0.4
2021-12-13,1,30,0.3
2021-12-14,0,38,0.38
2021-12-15,0,34,0.34
2021-12-16,2,29,0.29
2021-12-17,0,34,0.34
2021-12-18,0,27,0.27
2021-12-19,0,31,0.31
2021-12-20,1,32,0.32
2021-12-21,1,34,0.34
2021-12-22,0,29,0.29
2021-12-23,0,26,0.26
2021-12-24,0,20,0.2
2021-12-25,1,33,0.33
2021-12-26,0,28,0.28
2021-12-27,1,37,0.37
2021-12-28,0,30,0.3
2021-12-29,0,38,0.38
2021-12-30,1,35,0.35
2021-12-31,0,41,0.41
2022-01-01,0,84,0.84
2022-01-02,0,100,1.0
2022-01-03,0,69,0.69
2022-01-04,0,61,0.61
2022-01-05,0,39,0.39
2022-01-06,0,45,0.45
2022-01-07,1,35,0.35
2022-01-08,0,46,0.46
2022-01-09,0,64,0.64
2022-01-10,0,47,0.47
2022-01-11,3,43,0.43
2022-01-12,2,36,0.36
2022-01-13,2,32,0.32
2022-01-14,2,35,0.35
2022-01-15,1,36,0.36
2022-01-16,1,40,0.4
2022-01-17,3,43,0.43
2022-01-18,1,39,0.39
2022-01-19,0,32,0.32
2022-01-20,3,30,0.3
2022-01-21,1,32,0.32
2022-01-22,0,36,0.36
2022-01-23,0,38,0.38
2022-01-24,0,33,0.33
2022-01-25,3,36,0.36
2022-01-26,0,34,0.34
2022-01-27,1,35,0.35
2022-01-28,1,34,0.34
2022-01-29,0,37,0.37
2022-01-30,1,47,0.47
2022-01-31,1,29,0.29
2022-02-01,0,34,0.34
2022-02-02,0,34,0.34
2022-02-03,1,34,0.34
2022-02-04,0,34,0.34
2022-02-05,0,41,0.41
2022-02-06,1,36,0.36
2022-02-07,3,37,0.37
2022-02-08,1,36,0.36
2022-02-09,0,40,0.4
2022-02-10,0,37,0.37
2022-02-11,0,32,0.32
2022-02-12,0,38,0.38
2022-02-13,0,0,
2021-11-07,0,3,0.03
2021-11-08,0,6,0.06
2021-11-09,0,3,0.03
2021-11-10,0,6,0.06
2021-11-11,1,5,0.05
2021-11-12,0,6,0.06
2021-11-13,0,6,0.06
2021-11-14,0,6,0.06
2021-11-15,1,14,0.14
2021-11-16,0,8,0.08
2021-11-17,0,11,0.11
2021-11-18,0,9,0.09
2021-11-19,0,9,0.09
2021-11-20,0,3,0.03
2021-11-21,0,6,0.06
2021-11-22,0,6,0.06
2021-11-23,1,8,0.08
2021-11-24,0,14,0.14
2021-11-25,2,14,0.14
2021-11-26,0,3,0.03
2021-11-27,0,6,0.06
2021-11-28,0,9,0.09
2021-11-29,0,3,0.03
2021-11-30,0,3,0.03
2021-12-01,0,8,0.08
2021-12-02,0,6,0.06
2021-12-03,1,3,0.03
2021-12-04,0,6,0.06
2021-12-05,0,0,0.0
2021-12-06,1,6,0.06
2021-12-07,0,14,0.14
2021-12-08,0,6,0.06
2021-12-09,1,6,0.06
2021-12-10,2,0,0.0
2021-12-11,0,3,0.03
2021-12-12,0,6,0.06
2021-12-13,0,9,0.09
2021-12-14,0,3,0.03
2021-12-15,0,6,0.06
2021-12-16,1,6,0.06
2021-12-17,1,3,0.03
2021-12-18,0,3,0.03
2021-12-19,0,7,0.07
2021-12-20,0,3,0.03
2021-12-21,0,3,0.03
2021-12-22,2,12,0.12
2021-12-23,1,3,0.03
2021-12-24,0,4,0.04
2021-12-25,0,4,0.04
2021-12-26,0,11,0.11
2021-12-27,2,18,0.18
2021-12-28,1,6,0.06
2021-12-29,2,9,0.09
2021-12-30,0,3,0.03
2021-12-31,0,3,0.03
2022-01-01,0,7,0.07
2022-01-02,0,0,0.0
2022-01-03,0,3,0.03
2022-01-04,0,3,0.03
2022-01-05,0,6,0.06
2022-01-06,0,12,0.12
2022-01-07,0,21,0.21
2022-01-08,0,16,0.16
2022-01-09,0,10,0.1
2022-01-10,1,3,0.03
2022-01-11,0,3,0.03
2022-01-12,1,8,0.08
2022-01-13,4,3,0.03
2022-01-14,1,18,0.18
2022-01-15,0,100,1.0
2022-01-16,0,10,0.1
2022-01-17,1,17,0.17
2022-01-18,5,11,0.11
2022-01-19,2,0,0.0
2022-01-20,0,8,0.08
2022-01-21,0,9,0.09
2022-01-22,0,0,0.0
2022-01-23,0,7,0.07
2022-01-24,0,8,0.08
2022-01-25,3,3,0.03
2022-01-26,0,0,0.0
2022-01-27,2,6,0.06
2022-01-28,2,3,0.03
2022-01-29,0,7,0.07
2022-01-30,0,3,0.03
2022-01-31,1,6,0.06
2022-02-01,1,0,0.0
2022-02-02,0,9,0.09
2022-02-03,1,9,0.09
2022-02-04,4,6,0.06
2022-02-05,0,3,0.03
2022-02-06,0,7,0.07
2022-02-07,0,12,0.12
2022-02-08,0,12,0.12
2022-02-09,0,6,0.06
2022-02-10,1,9,0.09
2022-02-11,0,3,0.03
2022-02-12,0,10,0.1
2022-02-13,0,0,
2021-11-07,0,56,0.56
2021-11-08,1,96,0.96
2021-11-09,0,92,0.92
2021-11-10,0,82,0.82
2021-11-11,1,85,0.85
2021-11-12,0,73,0.73
2021-11-13,0,50,0.5
2021-11-14,0,57,0.57
2021-11-15,0,100,1.0
2021-11-16,0,86,0.86
2021-11-17,0,74,0.74
2021-11-18,1,85,0.85
2021-11-19,0,77,0.77
2021-11-20,0,42,0.42
2021-11-21,0,60,0.6
2021-11-22,0,95,0.95
2021-11-23,0,84,0.84
2021-11-24,0,84,0.84
2021-11-25,0,80,0.8
2021-11-26,0,63,0.63
2021-11-27,0,40,0.4
2021-11-28,0,45,0.45
2021-11-29,0,76,0.76
2021-11-30,0,85,0.85
2021-12-01,0,77,0.77
2021-12-02,0,80,0.8
2021-12-03,0,47,0.47
2021-12-04,0,34,0.34
2021-12-05,0,46,0.46
2021-12-06,0,81,0.81
2021-12-07,0,74,0.74
2021-12-08,0,83,0.83
2021-12-09,1,74,0.74
2021-12-10,1,60,0.6
2021-12-11,0,44,0.44
2021-12-12,0,59,0.59
2021-12-13,1,73,0.73
2021-12-14,0,85,0.85
2021-12-15,0,81,0.81
2021-12-16,0,76,0.76
2021-12-17,1,66,0.66
2021-12-18,0,31,0.31
2021-12-19,1,34,0.34
2021-12-20,1,59,0.59
2021-12-21,0,69,0.69
2021-12-22,0,55,0.55
2021-12-23,0,47,0.47
2021-12-24,1,22,0.22
2021-12-25,0,25,0.25
2021-12-26,0,36,0.36
2021-12-27,0,50,0.5
2021-12-28,3,49,0.49
2021-12-29,4,46,0.46
2021-12-30,0,45,0.45
2021-12-31,0,23,0.23
2022-01-01,2,29,0.29
2022-01-02,2,51,0.51
2022-01-03,0,73,0.73
2022-01-04,0,81,0.81
2022-01-05,0,74,0.74
2022-01-06,0,62,0.62
2022-01-07,0,65,0.65
2022-01-08,0,35,0.35
2022-01-09,2,54,0.54
2022-01-10,3,91,0.91
2022-01-11,1,90,0.9
2022-01-12,1,91,0.91
2022-01-13,0,78,0.78
2022-01-14,5,58,0.58
2022-01-15,2,41,0.41
2022-01-16,0,49,0.49
2022-01-17,2,92,0.92
2022-01-18,1,86,0.86
2022-01-19,2,80,0.8
2022-01-20,1,72,0.72
2022-01-21,1,70,0.7
2022-01-22,0,47,0.47
2022-01-23,1,55,0.55
2022-01-24,1,94,0.94
2022-01-25,6,87,0.87
2022-01-26,1,98,0.98
2022-01-27,3,87,0.87
2022-01-28,0,65,0.65
2022-01-29,0,41,0.41
2022-01-30,0,57,0.57
2022-01-31,1,97,0.97
2022-02-01,0,79,0.79
2022-02-02,0,78,0.78
2022-02-03,0,90,0.9
2022-02-04,1,67,0.67
2022-02-05,0,36,0.36
2022-02-06,0,54,0.54
2022-02-07,0,91,0.91
2022-02-08,0,86,0.86
2022-02-09,0,87,0.87
2022-02-10,0,65,0.65
2022-02-11,0,56,0.56
2022-02-12,0,40,0.4
2022-02-13,0,0,
2021-11-07,0,80,0.8
2021-11-08,0,85,0.85
2021-11-09,0,86,0.86
2021-11-10,0,84,0.84
2021-11-11,1,74,0.74
2021-11-12,0,73,0.73
2021-11-13,0,71,0.71
2021-11-14,1,82,0.82
2021-11-15,0,78,0.78
2021-11-16,0,87,0.87
2021-11-17,1,84,0.84
2021-11-18,0,89,0.89
2021-11-19,0,85,0.85
2021-11-20,1,80,0.8
2021-11-21,1,88,0.88
2021-11-22,0,79,0.79
2021-11-23,0,88,0.88
2021-11-24,0,95,0.95
2021-11-25,2,85,0.85
2021-11-26,0,93,0.93
2021-11-27,1,72,0.72
2021-11-28,1,76,0.76
2021-11-29,0,100,1.0
2021-11-30,0,85,0.85
2021-12-01,1,86,0.86
2021-12-02,2,92,0.92
2021-12-03,0,92,0.92
2021-12-04,1,75,0.75
2021-12-05,0,87,0.87
2021-12-06,0,84,0.84
2021-12-07,0,84,0.84
2021-12-08,1,78,0.78
2021-12-09,0,78,0.78
2021-12-10,0,73,0.73
2021-12-11,0,82,0.82
2021-12-12,0,69,0.69
2021-12-13,0,92,0.92
2021-12-14,0,89,0.89
2021-12-15,1,81,0.81
2021-12-16,0,77,0.77
2021-12-17,0,70,0.7
2021-12-18,0,62,0.62
2021-12-19,0,73,0.73
2021-12-20,1,78,0.78
2021-12-21,1,72,0.72
2021-12-22,2,73,0.73
2021-12-23,1,61,0.61
2021-12-24,0,68,0.68
2021-12-25,2,64,0.64
2021-12-26,1,71,0.71
2021-12-27,3,74,0.74
2021-12-28,5,70,0.7
2021-12-29,3,66,0.66
2021-12-30,6,64,0.64
2021-12-31,2,58,0.58
2022-01-01,1,60,0.6
2022-01-02,0,66,0.66
2022-01-03,0,66,0.66
2022-01-04,1,61,0.61
2022-01-05,2,69,0.69
2022-01-06,1,76,0.76
2022-01-07,0,73,0.73
2022-01-08,2,52,0.52
2022-01-09,0,70,0.7
2022-01-10,5,76,0.76
2022-01-11,5,74,0.74
2022-01-12,1,72,0.72
2022-01-13,1,83,0.83
2022-01-14,3,79,0.79
2022-01-15,0,59,0.59
2022-01-16,0,77,0.77
2022-01-17,2,89,0.89
2022-01-18,7,84,0.84
2022-01-19,2,72,0.72
2022-01-20,2,79,0.79
2022-01-21,2,67,0.67
2022-01-22,2,74,0.74
2022-01-23,1,68,0.68
2022-01-24,0,80,0.8
2022-01-25,2,79,0.79
2022-01-26,1,81,0.81
2022-01-27,1,72,0.72
2022-01-28,5,62,0.62
2022-01-29,4,78,0.78
2022-01-30,2,73,0.73
2022-01-31,1,74,0.74
2022-02-01,6,84,0.84
2022-02-02,1,75,0.75
2022-02-03,4,85,0.85
2022-02-04,0,68,0.68
2022-02-05,0,59,0.59
2022-02-06,1,66,0.66
2022-02-07,0,63,0.63
2022-02-08,1,71,0.71
2022-02-09,1,76,0.76
2022-02-10,0,69,0.69
2022-02-11,0,75,0.75
2022-02-12,0,68,0.68
2022-02-13,0,0,
2021-11-07,0,100,1.0
2021-11-08,0,91,0.91
2021-11-09,0,97,0.97
2021-11-10,0,95,0.95
2021-11-11,1,87,0.87
2021-11-12,0,89,0.89
2021-11-13,0,90,0.9
2021-11-14,1,100,1.0
2021-11-15,0,95,0.95
2021-11-16,0,93,0.93
2021-11-17,0,95,0.95
2021-11-18,1,93,0.93
2021-11-19,1,90,0.9
2021-11-20,0,87,0.87
2021-11-21,0,97,0.97
2021-11-22,0,94,0.94
2021-11-23,0,94,0.94
2021-11-24,0,94,0.94
2021-11-25,0,92,0.92
2021-11-26,1,85,0.85
2021-11-27,0,86,0.86
2021-11-28,1,96,0.96
2021-11-29,0,89,0.89
2021-11-30,1,96,0.96
2021-12-01,1,89,0.89
2021-12-02,0,89,0.89
2021-12-03,1,90,0.9
2021-12-04,1,88,0.88
2021-12-05,1,97,0.97
2021-12-06,1,90,0.9
2021-12-07,1,90,0.9
2021-12-08,0,92,0.92
2021-12-09,0,95,0.95
2021-12-10,2,95,0.95
2021-12-11,0,88,0.88
2021-12-12,1,99,0.99
2021-12-13,1,93,0.93
2021-12-14,1,93,0.93
2021-12-15,2,96,0.96
